Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Season,RoundNumber,RaceName
0 days 00:00:07.776000,15.8,91.0,1009.2,True,18.8,211,2.6,2025,1,Australian Grand Prix
0 days 00:01:07.777000,15.7,92.0,1009.2,True,18.8,273,2.6,2025,1,Australian Grand Prix
0 days 00:02:07.763000,15.7,92.0,1009.0,True,18.8,271,2.2,2025,1,Australian Grand Prix
0 days 00:03:07.777000,15.7,90.0,1009.1,True,18.8,261,5.3,2025,1,Australian Grand Prix
0 days 00:04:07.778000,15.7,90.0,1009.4,True,18.8,246,5.6,2025,1,Australian Grand Prix
0 days 00:05:07.767000,15.6,90.0,1009.2,True,18.8,264,3.9,2025,1,Australian Grand Prix
0 days 00:06:07.782000,15.6,90.0,1009.2,True,18.8,283,4.8,2025,1,Australian Grand Prix
0 days 00:07:07.767000,15.6,90.0,1009.1,True,18.8,267,3.2,2025,1,Australian Grand Prix
0 days 00:08:07.783000,15.6,90.0,1009.3,True,18.7,252,3.7,2025,1,Australian Grand Prix
0 days 00:09:07.785000,15.6,89.0,1009.1,False,18.7,274,3.4,2025,1,Australian Grand Prix
0 days 00:10:07.784000,15.6,89.0,1009.3,False,18.7,265,4.4,2025,1,Australian Grand Prix
0 days 00:11:07.807000,15.6,89.0,1009.1,False,18.7,269,4.6,2025,1,Australian Grand Prix
0 days 00:12:07.815000,15.6,88.0,1009.2,False,18.7,264,4.3,2025,1,Australian Grand Prix
0 days 00:13:07.826000,15.6,88.0,1009.1,False,18.7,275,5.1,2025,1,Australian Grand Prix
0 days 00:14:07.812000,15.6,88.0,1009.4,False,18.7,254,3.8,2025,1,Australian Grand Prix
0 days 00:15:07.831000,15.7,88.0,1009.3,False,18.7,256,3.2,2025,1,Australian Grand Prix
0 days 00:16:07.833000,15.7,88.0,1009.2,False,18.7,261,3.7,2025,1,Australian Grand Prix
0 days 00:17:07.822000,15.6,88.0,1009.2,False,18.7,267,2.9,2025,1,Australian Grand Prix
0 days 00:18:07.810000,15.6,87.0,1009.1,False,18.7,265,5.6,2025,1,Australian Grand Prix
0 days 00:19:07.815000,15.6,87.0,1009.2,False,18.7,258,4.1,2025,1,Australian Grand Prix
0 days 00:20:07.843000,15.6,87.0,1009.3,False,18.7,268,4.1,2025,1,Australian Grand Prix
0 days 00:21:07.832000,15.6,87.0,1009.3,False,18.7,245,4.5,2025,1,Australian Grand Prix
0 days 00:22:07.844000,15.6,87.0,1009.3,False,18.7,267,6.6,2025,1,Australian Grand Prix
0 days 00:23:07.862000,15.6,86.0,1009.4,False,18.7,280,5.3,2025,1,Australian Grand Prix
0 days 00:24:07.858000,15.5,86.0,1009.2,True,18.7,257,4.0,2025,1,Australian Grand Prix
0 days 00:25:07.873000,15.4,86.0,1009.3,True,18.7,267,6.9,2025,1,Australian Grand Prix
0 days 00:26:07.889000,15.4,87.0,1009.6,True,18.7,269,5.1,2025,1,Australian Grand Prix
0 days 00:27:07.916000,15.4,88.0,1009.3,True,18.7,255,5.9,2025,1,Australian Grand Prix
0 days 00:28:07.920000,15.3,87.0,1009.4,True,18.7,249,4.4,2025,1,Australian Grand Prix
0 days 00:29:07.970000,15.3,88.0,1009.5,True,18.7,254,4.3,2025,1,Australian Grand Prix
0 days 00:30:07.918000,15.2,88.0,1009.8,True,18.7,257,4.0,2025,1,Australian Grand Prix
0 days 00:31:07.920000,15.1,87.0,1009.5,True,18.5,250,3.3,2025,1,Australian Grand Prix
0 days 00:32:07.922000,15.1,87.0,1009.8,False,18.5,250,6.0,2025,1,Australian Grand Prix
0 days 00:33:07.925000,15.1,87.0,1009.7,False,18.5,255,3.0,2025,1,Australian Grand Prix
0 days 00:34:07.926000,15.1,87.0,1009.6,True,18.5,261,5.9,2025,1,Australian Grand Prix
0 days 00:35:07.922000,15.1,87.0,1009.6,True,18.5,261,5.9,2025,1,Australian Grand Prix
0 days 00:36:07.943000,15.2,87.0,1009.7,True,18.3,249,4.8,2025,1,Australian Grand Prix
0 days 00:37:07.950000,15.2,87.0,1009.6,True,18.3,263,4.0,2025,1,Australian Grand Prix
0 days 00:38:07.961000,15.2,87.0,1009.6,True,18.3,263,4.0,2025,1,Australian Grand Prix
0 days 00:39:07.966000,15.2,87.0,1009.6,True,18.3,285,4.3,2025,1,Australian Grand Prix
0 days 00:40:07.961000,15.2,87.0,1009.5,True,18.3,264,4.7,2025,1,Australian Grand Prix
0 days 00:41:07.970000,15.2,87.0,1009.4,True,18.3,221,4.5,2025,1,Australian Grand Prix
0 days 00:42:07.971000,15.2,87.0,1009.2,False,18.3,258,2.9,2025,1,Australian Grand Prix
0 days 00:43:07.976000,15.3,86.0,1009.5,False,18.6,250,6.1,2025,1,Australian Grand Prix
0 days 00:44:07.972000,15.2,87.0,1009.5,False,18.6,250,4.6,2025,1,Australian Grand Prix
0 days 00:45:07.979000,15.3,86.0,1009.6,False,18.6,253,5.1,2025,1,Australian Grand Prix
0 days 00:46:08.012000,15.2,85.0,1009.3,False,18.6,280,5.1,2025,1,Australian Grand Prix
0 days 00:47:08.012000,15.3,83.0,1009.4,False,18.7,286,3.8,2025,1,Australian Grand Prix
